#{"t_start": 1761889711.5764668, "env_id": "SafetyPointGoal1-v0"}
r,l,t,cost
312.636989,1000,319.301687,0.0
305.037395,1000,321.938953,0.0
496.710746,1000,325.818725,0.0
503.114474,1000,328.491523,0.0
503.851017,1000,332.746706,1.0
277.405442,1000,335.297742,0.0
223.6558,1000,339.240976,0.0
381.36194,1000,341.839028,0.0
563.355174,1000,345.648341,0.0
286.746084,1000,348.209509,0.0
347.585214,1000,352.457203,0.0
440.433895,1000,355.376504,0.0
573.453153,1000,359.508442,0.0
457.013807,1000,362.313853,1.0
337.159202,1000,366.259297,1.0
495.976178,1000,368.812111,0.0
603.358581,1000,372.550532,1.0
297.988266,1000,375.052283,0.0
373.168334,1000,378.720474,0.0
409.745876,1000,381.439363,0.0
355.241441,1000,385.161524,0.0
504.002207,1000,387.877206,0.0
446.707118,1000,391.727295,0.0
581.065412,1000,394.513997,1.0
244.224316,1000,398.549684,0.0
437.496812,1000,401.275284,0.0
377.554321,1000,405.374465,0.0
494.986515,1000,407.980314,0.0
188.559055,1000,411.689647,0.0
243.517074,1000,414.24712,0.0
367.561054,1000,417.957227,0.0
405.022921,1000,420.506799,0.0
404.716881,1000,424.186956,0.0
482.234742,1000,426.710549,0.0
102.61828,1000,429.258091,0.0
380.278338,1000,432.876663,0.0
363.874411,1000,435.439649,0.0
316.341837,1000,439.090039,0.0
395.51334,1000,441.639936,0.0
500.417475,1000,445.358661,0.0
321.788407,1000,447.852706,0.0
471.372625,1000,451.569029,0.0
361.562071,1000,454.357487,0.0
556.502812,1000,458.371783,0.0
415.274271,1000,461.032513,0.0
390.357718,1000,464.984004,0.0
408.086189,1000,467.721891,0.0
179.638296,1000,471.616755,0.0
434.104046,1000,474.601766,0.0
402.306643,1000,478.301167,0.0
383.107529,1000,481.019967,0.0
255.952252,1000,484.670189,0.0
300.602983,1000,487.349603,0.0
521.376049,1000,491.081623,0.0
429.963787,1000,493.597754,0.0
297.306994,1000,497.291427,0.0
453.787686,1000,499.806967,0.0
304.650633,1000,503.515287,0.0
143.845102,1000,506.031422,1.0
691.739304,1000,509.717278,0.0
360.93573,1000,512.279221,0.0
546.011931,1000,516.063098,1.0
408.364046,1000,518.694804,0.0
557.059935,1000,522.453117,0.0
477.168797,1000,525.179889,0.0
561.723332,1000,528.898089,0.0
191.080202,1000,531.599221,0.0
423.844806,1000,535.497349,0.0
332.259428,1000,538.402498,0.0
296.352323,1000,542.557431,0.0
513.966234,1000,545.583378,0.0
295.920564,1000,549.743155,0.0
383.722843,1000,552.432353,0.0
444.341332,1000,556.31811,0.0
435.169701,1000,559.496257,0.0
608.334062,1000,563.176558,0.0
559.898653,1000,566.094408,0.0
410.383607,1000,568.909945,0.0
615.893267,1000,572.737708,0.0
525.991143,1000,575.338815,0.0
238.436866,1000,579.138438,0.0
529.253315,1000,581.672784,0.0
493.889352,1000,585.547656,0.0
528.364165,1000,588.054597,0.0
518.102134,1000,591.852499,0.0
443.756617,1000,594.454063,0.0
358.427523,1000,598.25074,0.0
467.587605,1000,600.822229,1.0
576.894099,1000,604.723511,0.0
494.220796,1000,607.26366,0.0
526.459548,1000,611.453493,0.0
577.586087,1000,613.986535,0.0
500.401557,1000,617.878136,0.0
501.247624,1000,620.469232,0.0
415.806528,1000,624.317551,0.0
473.046947,1000,626.887554,0.0
261.506601,1000,630.8195,0.0
